noresp;CFD;jk;usia;jmlmotor;jmlmobil;jmlsepeda;jmldewasa;jmlanak;seringnya;kendaraan;kendaraan2;ongkos;bparkir;jarak;durasi;mdhparkir;kontitroto;toplajur;kondisijln;keringat;bnykbrg;penumpang;maksud;jmlkunj;frek;bareng;suasana;keramaian;hiburan;cocokor;penasaran
320;1;2;19;0;0;0;1;0;Jalan ka;4;2;0;0;1500;25;0;2;2;1;0;0;0;4;3;Tidak te;3;5;5;5;4;1
321;1;2;17;0;0;0;1;0;Angkot;2;1;5000;0;2300;10;0;3;3;1;1;0;0;2;3;Tidak te;0;4;4;5;4;2
322;1;2;20;0;2;1;4;0;Mobil pr;1;1;10173,41;0;11000;40;4;3;4;1;1;0;1;3;5;Tidak te;2;4;3;4;2;2
324;1;2;19;1;0;1;3;1;Sepeda m;2;1;1083,59;0;7000;30;0;2;4;1;1;0;0;2;5;Tidak te;0;5;4;4;4;1
325;2;2;32;2;1;0;7;0;Sepeda m;4;2;0;0;1000;15;0;3;2;1;0;0;0;3;3;Setiap p;2;4;4;4;4;1
326;2;2;21;0;0;0;2;0;Sepeda m;4;2;0;0;2000;10;0;3;2;1;0;0;0;3;4;Setidakn;4;4;4;4;3;2
327;2;2;44;3;0;0;2;2;Sepeda m;2;1;665,63;0;4300;10;5;2;6;2;1;0;1;4;10;Setidakn;1;4;4;4;4;1
328;2;2;43;2;2;3;4;2;Mobil pr;2;1;309,6;5000;2000;15;5;1;6;2;1;1;1;1;36;Setiap p;2;4;4;4;2;2
329;2;1;25;6;1;5;7;0;Sepeda m;1;1;2127,17;0;2300;5;4;3;4;2;0;0;1;1;165;Dua samp;1;5;4;4;3;1
330;2;1;36;1;0;5;3;3;Sepeda m;2;1;696,59;3000;4500;7;4;2;4;2;1;0;1;3;5;Tidak te;1;4;2;4;3;1
331;2;1;19;1;1;3;3;1;Sepeda m;5;2;0;0;6000;15;0;2;4;2;0;0;0;4;7;Dua samp;0;5;3;3;4;1
332;2;1;40;1;0;2;2;2;Sepeda m;2;1;1857,59;0;12000;45;0;1;4;2;0;0;1;4;55;Setidakn;1;4;3;4;3;1
